Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
NETHERLANDS,26207,1249019,9,83.2,1.4083215095203572,10031,6025,0.0,1.9708556718785135,1.9,38.28,142,0.0,3.410948574191932,47.659747395733966,15.31,4.6,272,2.2618564708928495,52.50636308238258,0.0,Country/Region,2836,1206,3.4316920817286385,0,1.7306942476111404,4130,n/a,1975,0.0,182,15.76,n/a,22056,2384,13104,2775,18436,5266,20182,2368,22.99,1318,0.54,59.41,1.04,23.88,10.82,10.74,7.54,5.98,0.69,9.1,499,4013,10.59,0,77.01
AUSTRALIA,31615,1216005,10,79.6,1.131405725130476,9224,4920,0.0,2.3775556937627047,1.46,29.18,147,0.0,3.320790573210064,38.46291317412621,12.65,1.58,292,2.7286065679886073,47.951017165902265,0.0,Country/Region,2768,500,3.340985789521563,0,1.396724620130602,5112,n/a,1172,0.0,188,16.17,n/a,25695,1496,12342,1713,13433,6460,26695,4584,15.56,2309,0.46,48.03,0.92,25.14,8.76,17.84,3.71,8.99,0.59,4.73,463,3998,5.42,0,84.44
SPAIN,30228,990655,11,83.91,0.9650942702130476,9064,5545,0.0,2.2732485690671846,1.02,29.99,333,0.0,2.705381791442811,32.77276035463808,10.16,1.7,299,2.6088982867992923,47.252839036654755,0.0,Country/Region,2505,515,2.721834431041389,0,1.190095015677476,5272,n/a,2106,0.0,352,17.44,n/a,25548,1515,11932,2408,10662,7141,24683,3403,18.34,3072,1.1,46.7,0.99,27.95,8.29,13.32,6.97,12.02,1.16,5.01,309,3072,7.97,0,81.66
SWEDEN,19796,936235,12,86.66,1.2732278844210954,8104,3562,0.0,1.4887266333615847,1.74,40.94,187,0.0,2.5567661007227143,47.29415033340069,13.74,4.84,261,1.7085401113364693,52.66277525762781,0.0,Country/Region,1965,958,2.572314941675997,0,1.7174181232651609,2876,n/a,865,0.0,65,14.53,n/a,16961,1034,9168,1149,12683,4445,16234,2274,17.99,1074,0.94,54.05,1.32,26.21,9.93,13.41,4.37,6.33,0.33,5.22,345,2719,5.8,0,82.01
SWITZERLAND,18204,906702,13,84.25,1.4291620797626896,8535,4142,0.0,1.3690028103512977,2.26,46.89,95,0.0,2.4761143698510377,49.80784442979565,16.67,6.5,269,1.5711388253570966,53.25427336299715,0.0,Country/Region,1695,1184,2.4911727314696734,0,1.808699259876352,1391,n/a,1668,0.0,296,7.64,n/a,15233,1442,8914,2083,16902,3332,14062,1842,22.75,1145,0.52,58.52,1.48,21.87,9.31,12.09,9.16,7.52,1.63,7.92,412,3034,11.44,0,77.25
CHINA MAINLAND,40354,759459,14,74.3,0.6012254943747832,7223,2855,0.0,3.034758262410254,0.56,17.9,128,0.0,2.074008156166744,18.819918719333895,6.2,0.88,181,3.4828464160876886,36.2746967933786,0.0,Country/Region,1568,357,2.0866211296205663,0,0.683417912344535,8862,n/a,871,0.0,36,21.96,n/a,29465,474,7777,978,7414,8759,37499,7015,7.07,5914,0.32,26.39,0.45,29.73,3.89,23.81,2.16,20.07,0.09,1.17,225,2502,2.42,0,92.93
SCOTLAND,13956,560468,15,77.14,1.2720811120664948,3898,2829,0.0,1.0495387399067628,1.72,27.93,75,0.0,1.5305832220968647,40.15964459730582,12.89,2.58,167,1.2045052431709315,47.42179004012612,0.0,Country/Region,1617,360,1.53989138488869,0,1.458338948243908,2740,n/a,601,0.0,296,19.63,n/a,11481,989,6469,970,7396,2721,11127,1352,20.27,939,0.54,56.35,1.2,23.7,11.59,11.78,4.31,8.18,2.12,7.09,240,1799,6.95,0,79.73
BELGIUM,14004,537602,16,83.21,1.1881890674093118,6158,2628,0.0,1.0531485034146106,1.56,43.97,65,0.0,1.4681384153345394,38.389174521565266,12.91,5.1,141,1.2086479955120184,49.686455841188234,0.0,Country/Region,1322,714,1.477066823260078,0,1.3940469084601195,1422,n/a,755,0.0,140,10.15,n/a,11647,830,6069,1100,9592,3026,11376,1535,18.77,1017,0.46,52.11,1.01,25.98,9.44,13.18,5.39,8.73,1.0,5.93,219,1808,7.85,0,81.23
ISRAEL,12690,530747,17,83.8,1.1868023246650907,4434,2299,0.0,0.9543312273872758,1.55,34.94,51,0.0,1.4494180816357842,41.824034672970846,12.77,2.32,219,1.0952401501747724,49.886255697399534,0.0,Country/Region,1128,295,1.4582326428190682,0,1.5187788474699027,2131,n/a,802,0.0,45,16.79,n/a,10738,483,5812,901,8749,2519,10391,1731,18.12,676,0.4,54.13,1.73,23.46,8.89,16.12,6.32,6.3,0.35,3.81,197,1621,7.1,0,81.88
DENMARK,10119,502978,18,86.7,1.4116643146555985,4491,2108,0.0,0.7609832694981752,2.15,44.38,78,0.0,1.3735836620178794,49.706295088447476,15.4,5.34,105,0.8733439779053208,54.1344161280759,0.0,Country/Region,1125,540,1.3819370400960331,0,1.8050116435853827,1333,n/a,559,0.0,60,13.17,n/a,8702,665,4827,800,7017,2394,8011,976,20.83,505,0.77,55.47,1.04,27.51,11.12,11.22,5.52,5.8,0.59,6.57,218,1558,7.91,0,79.17
SOUTH KOREA,21043,500272,19,80.65,0.8070750415815235,4249,2362,0.0,1.5825052811592153,0.76,20.19,281,0.0,1.366193841012944,23.773796511904195,8.78,3.5,175,1.8161653648642817,44.024853286128405,0.0,Country/Region,947,736,1.374502278276431,0,0.8633107625474594,5522,n/a,664,0.0,16,26.24,n/a,16325,590,6927,959,9573,4173,18681,3472,11.22,1753,1.34,42.43,0.83,25.56,4.5,21.27,3.16,10.74,0.08,2.8,159,1847,4.56,0,88.78
INDIA,20841,474988,20,83.74,0.693927081234106,3531,2280,0.0,1.567314193063689,1.01,16.94,148,0.0,1.2971457130422175,22.791036898421382,7.37,0.71,97,1.7987312820955423,41.55941673624106,0.0,Country/Region,979,147,1.3050342376826314,0,0.8276232798649243,2938,n/a,856,0.0,267,14.1,n/a,17981,329,4645,1056,4687,5014,18561,3444,10.94,4878,0.71,25.83,0.47,27.88,4.7,19.15,4.11,27.13,1.28,1.58,211,1536,5.07,0,89.06
RUSSIA,29828,428325,21,75.35,0.48688816548209735,8898,2726,0.0,2.2431672065017856,0.46,29.83,140,0.0,1.1697136296891877,14.35982969022395,4.49,0.89,108,2.5743753506235705,31.572298461177418,0.0,Country/Region,760,265,1.1768271826981167,0,0.5214562812343149,3651,n/a,1757,0.0,76,12.24,n/a,22426,464,5093,1718,3644,4017,27102,5023,9.14,8293,0.47,22.71,0.36,17.91,2.55,22.4,5.89,36.98,0.25,1.56,136,1338,5.76,0,90.86
FINLAND,9885,410168,22,85.09,1.0946705816894284,3637,1802,0.0,0.7433856723974169,1.38,36.79,133,0.0,1.1201286407806097,41.49398077895802,12.22,2.81,106,0.8531480602425235,51.1090747395043,0.0,Country/Region,1048,278,1.1269406452411632,0,1.5067934214661387,2017,n/a,455,0.0,73,20.4,n/a,8151,485,4265,515,5311,2179,8083,1144,18.23,563,1.35,52.32,1.07,26.73,10.6,14.04,4.6,6.91,0.74,4.91,136,1208,5.21,0,81.77
AUSTRIA,10401,367826,23,79.92,1.0619858667435824,4311,1491,0.0,0.7821906301067814,1.34,41.45,92,0.0,1.0044967852776632,35.364484184213055,10.9,3.04,85,0.8976826479092047,46.0138971060475,0.0,Country/Region,781,316,1.010605580582776,0,1.2842096882962324,1005,n/a,456,0.0,55,9.66,n/a,8672,381,4319,533,5502,1992,8910,1406,14.34,955,0.88,49.8,0.82,22.97,7.51,16.21,4.38,11.01,0.53,3.66,139,1134,5.12,0,85.66
BRAZIL,15910,360202,24,77.08,0.7848851979886864,4260,3477,0.0,1.1964861960387358,0.75,26.78,1656,0.0,0.9836763878860788,22.63997485857951,7.35,1.07,88,1.3731497863893323,41.05845919547455,0.0,Country/Region,768,171,0.989658565020083,0,0.8221376821084803,3341,n/a,1608,0.0,34,21.0,n/a,13055,1489,5797,965,3030,3050,12433,2438,21.85,1770,10.41,44.4,0.55,23.36,4.83,18.67,10.11,13.56,0.21,9.36,120,1169,6.07,0,78.15
TAIWAN,13845,342100,25,84.22,0.7903123654749007,2247,2134,0.0,1.0411911617948646,0.61,16.23,81,0.0,0.9342415985914225,24.709281328999637,8.78,2.04,113,1.194925128382169,46.507175630191405,0.0,Country/Region,714,283,0.9399231406082432,0,0.897281529917065,3798,n/a,668,0.0,20,27.43,n/a,11082,790,4768,1226,5608,3100,11711,2169,15.41,1045,0.59,43.02,0.82,27.97,5.16,19.57,4.82,9.43,0.14,5.71,84,1215,8.86,0,84.59
NORWAY,6659,284926,26,86.26,1.2376638984832558,2728,1181,0.0,0.5007794833074759,1.82,40.97,105,0.0,0.7781050035669678,42.788106322270615,13.68,5.44,63,0.5747205799853278,52.545658071782555,0.0,Country/Region,679,362,0.7828370089475133,0,1.5537877039767134,928,n/a,314,0.0,48,13.94,n/a,5597,288,2732,334,2619,1581,5478,894,17.74,390,1.58,48.81,0.95,28.25,10.2,15.97,4.72,6.97,0.72,4.32,121,911,5.02,0,82.26
POLAND,13871,276973,27,80.38,0.6510328527142961,4658,1571,0.0,1.0431464503616155,0.71,33.58,195,0.0,0.756386139393926,19.96777449354769,5.99,0.89,80,1.197169119233591,38.872710302069066,0.0,Country/Region,625,123,0.7609860626240483,0,0.725100621424459,1615,n/a,730,0.0,38,11.64,n/a,10987,228,3455,671,3289,2563,12300,3156,11.33,1813,1.41,31.45,0.58,23.33,4.51,28.72,5.26,16.5,0.27,1.64,98,831,4.84,0,88.67
HONG KONG,8093,272358,28,84.33,1.121654479179538,1870,1020,0.0,0.6086211681044305,1.43,23.11,15,0.0,0.7437830263348807,33.65352774002224,12.47,0.89,33,0.6984853061752903,51.18123023600643,0.0,Country/Region,439,72,0.7483063043840394,0,1.222078799282345,1730,n/a,337,0.0,25,21.38,n/a,6472,323,2918,533,3334,1866,7073,1131,12.6,557,0.19,45.09,0.41,28.83,5.42,17.48,4.16,8.61,0.31,3.99,116,1009,6.59,0,87.4
NEW ZEALAND,6039,211347,29,83.81,1.1230673455870177,1985,912,0.0,0.45415337133110784,1.28,32.87,19,0.0,0.5771679600628511,34.99701937406856,10.73,2.62,37,0.5212100289129591,48.334397897002816,0.0,Country/Region,618,158,0.5806779771941841,0,1.270865739411318,593,n/a,158,0.0,31,9.82,n/a,4927,196,1966,238,2605,1589,5127,945,15.1,427,0.31,39.9,0.61,32.25,10.23,19.18,2.62,8.67,0.51,3.25,77,648,3.94,0,84.9
GREECE,7493,197378,30,80.74,0.863364139863873,2322,917,0.0,0.5634991242563323,0.96,30.99,46,0.0,0.539019989028874,26.341652208728146,9.1,1.33,44,0.6467009019117076,44.89929482183371,0.0,Country/Region,470,100,0.5422980112451734,0,0.9565586987206693,1142,n/a,366,0.0,26,15.24,n/a,6018,182,2692,357,2395,1624,6576,1053,12.24,649,0.61,44.73,0.59,26.99,6.27,17.5,4.88,10.78,0.35,2.43,72,682,4.76,0,87.76
TURKEY,8423,188948,31,84.66,0.7832028968301081,1438,863,0.0,0.6334382922208844,0.7,17.07,33,0.0,0.5159984845678226,22.432387510388224,7.6,0.7,10,0.7269667285202607,43.71214361866319,0.0,Country/Region,485,59,0.5191365026940846,0,0.8145994501827343,1581,n/a,247,0.0,14,18.77,n/a,7444,221,1959,335,1266,2068,7560,1871,10.25,1546,0.39,26.32,0.12,27.78,5.76,25.13,2.93,20.77,0.17,2.62,59,640,3.98,0,89.75
SINGAPORE,5741,168340,32,81.66,1.0188420484236196,1535,499,0.0,0.4317427562198857,1.32,26.74,24,0.0,0.4597200546824908,29.322417697265283,11.81,1.57,41,0.49549044146204635,48.843195192475186,0.0,Country/Region,246,90,0.46251581844487477,0,1.064800852034113,507,n/a,106,0.0,35,8.83,n/a,4075,128,1883,188,2293,1082,5242,719,8.69,391,0.42,46.21,0.71,26.55,4.28,17.64,1.85,9.6,0.61,2.23,76,678,3.27,0,91.31
MEXICO,7135,167840,33,77.66,0.7557742116327961,2567,998,0.0,0.5365763047603004,0.59,35.98,97,0.0,0.45835460364684116,23.523475823405747,6.91,1.35,58,0.6158028740344366,40.70591373510862,0.0,Country/Region,422,96,0.4611420634892942,0,0.8542207316657368,1076,n/a,438,0.0,29,15.08,n/a,5795,190,2154,421,1784,1582,6137,863,13.99,1196,1.36,37.17,0.81,27.3,5.91,14.89,6.14,20.64,0.41,2.66,42,493,5.9,0,86.01
WALES,4775,161579,34,74.43,1.1054730261780106,1180,773,0.0,0.35909626562444774,1.42,24.71,13,0.0,0.44125642577843754,33.838534031413616,12.52,2.41,22,0.41211755059767835,45.171978429319374,0.0,Country/Region,493,115,0.44393990393551397,0,1.2287970330493916,1018,n/a,169,0.0,59,21.32,n/a,3898,250,1906,245,1778,1168,4002,489,16.19,335,0.27,48.9,0.46,29.96,10.32,12.54,3.54,8.59,1.24,5.24,68,598,5.13,0,83.81
HUNGARY,5492,147943,35,79.55,0.8446434450109249,2386,883,0.0,0.41301710802292496,1.06,43.45,23,0.0,0.4040178451342029,26.93790968681719,7.79,2.86,50,0.4739999136926596,41.41198102694829,0.0,Country/Region,374,157,0.40647485878691997,0,0.9782109198047493,730,n/a,321,0.0,113,13.29,n/a,4575,178,1736,436,1713,1311,4609,801,16.08,727,0.42,37.95,0.91,28.66,6.81,17.51,5.84,15.89,2.06,3.24,58,428,7.94,0,83.92
PORTUGAL,4898,147338,36,81.5,0.9824148223764801,2006,1033,0.0,0.3683462846133078,1.0,40.96,30,0.0,0.402365649381067,30.0812576561862,11.35,1.27,24,0.4227333534717128,48.41990900367497,0.0,Country/Region,326,62,0.4048126152906674,0,1.0923570188945244,582,n/a,422,0.0,25,11.88,n/a,3884,379,1756,653,1589,1231,3865,600,21.09,297,0.61,45.21,0.49,31.69,6.66,15.45,8.62,7.65,0.51,7.74,49,556,13.33,0,78.91
IRELAND,4256,146207,37,73.75,1.2217133458646616,1502,740,0.0,0.3200656976958428,0.92,35.29,15,0.0,0.3992769991384277,34.3531484962406,10.81,2.28,26,0.36732404090967935,43.5498835056391,0.0,Country/Region,399,97,0.40170518158114416,0,1.2474845071272183,382,n/a,187,0.0,88,8.98,n/a,3390,208,1719,300,1947,873,3516,514,17.39,284,0.35,50.71,0.61,25.75,9.38,15.16,4.39,8.38,2.07,4.89,39,460,7.05,0,82.61
ARGENTINA,5912,145510,38,79.63,0.7681738328822733,1918,997,0.0,0.4446025387165937,0.93,32.44,76,0.0,0.39737356039473226,24.612652232746957,7.07,1.01,58,0.5102489966771674,40.92925431326117,0.0,Country/Region,416,60,0.39979016717306476,0,0.8937725851539347,1037,n/a,375,0.0,20,17.54,n/a,5152,431,2262,447,1256,1349,4915,935,16.86,606,1.29,43.91,0.98,26.18,7.04,18.15,6.34,11.76,0.34,7.29,55,418,7.56,0,83.14
SOUTH AFRICA,5166,141559,39,81.38,0.959861556329849,1685,714,0.0,0.388500797532125,1.2,32.62,31,0.0,0.3865837663110295,27.402051877661634,9.0,1.78,103,0.44586372070944635,43.93517721641503,0.0,Country/Region,370,92,0.3889347555140669,0,0.9950655668321067,568,n/a,155,0.0,25,10.99,n/a,4227,170,1481,210,1243,1164,4452,929,13.82,653,0.6,35.04,1.99,27.54,7.16,21.98,3.0,15.45,0.48,3.29,62,465,4.07,0,86.18
CZECH REPUBLIC,5930,131770,40,79.21,0.7528012478920741,2363,825,0.0,0.4459562000320366,0.73,39.85,89,0.0,0.3598509659350826,22.220910623946036,7.34,1.48,76,0.5118025288050749,41.174705699831364,0.0,Country/Region,344,88,0.36203938099371,0,0.8069199753456316,866,n/a,378,0.0,21,14.6,n/a,4828,137,1702,316,1189,1225,5105,904,13.91,997,1.5,35.25,1.28,25.37,5.8,18.72,6.37,20.65,0.35,2.31,43,435,5.33,0,86.09
CHILE,2594,82080,41,83.46,0.9270392444101775,1169,547,0.0,0.19507763623661098,0.66,45.07,64,0.0,0.22415244201223022,31.64225134926754,8.1,1.35,25,0.2238812410995555,45.06205929067078,0.0,Country/Region,289,35,0.2255156135081105,0,1.1490422292197258,274,n/a,244,0.0,22,10.56,n/a,2258,90,906,169,705,575,2047,513,21.09,264,2.47,40.12,0.96,25.47,11.14,22.72,9.41,11.69,0.85,3.47,17,210,6.52,0,78.91
NORTHERN IRELAND,2359,70584,42,73.38,1.0815969478592624,594,376,0.0,0.17740483572943921,0.93,25.18,8,0.0,0.19275799180057576,29.921153030945316,9.75,1.53,8,0.203599016096319,42.4231102161933,0.0,Country/Region,260,36,0.19393023956940147,0,1.0865430528317264,459,n/a,91,0.0,15,19.46,n/a,1935,120,966,100,668,553,1983,222,15.94,194,0.34,49.92,0.34,28.58,11.02,11.47,3.86,10.03,0.64,5.09,22,230,4.24,0,84.06
UKRAINE,5144,56509,43,71.81,0.3984348561430794,1918,435,0.0,0.3868463225910281,0.19,37.29,19,0.0,0.1543205451470409,10.985419906687403,3.4,0.91,12,0.44396495921978163,30.550244342923797,0.0,Country/Region,133,47,0.1552590375698077,0,0.3989195092082801,340,n/a,300,0.0,17,6.61,n/a,3897,48,887,271,360,807,4709,1144,8.46,1059,0.37,22.76,0.23,20.71,2.59,29.36,5.83,27.17,0.33,0.93,10,175,5.27,0,91.54
EGYPT,3041,53031,44,79.58,0.572775698783295,756,210,0.0,0.2286935589034441,0.07,24.86,40,0.0,0.14482246774306265,17.438671489641564,5.46,0.49,10,0.2624606222759246,40.21820256494574,0.0,Country/Region,115,15,0.1457031980987891,0,0.633259932800327,394,n/a,44,0.0,4,12.96,n/a,2537,28,607,45,523,707,2831,709,6.91,514,1.32,23.93,0.33,27.87,3.78,27.95,1.45,20.26,0.13,0.92,2,166,1.48,0,93.09
THAILAND,1913,47123,45,82.28,0.8667344485101934,896,218,0.0,0.1438641164690196,0.73,46.84,17,0.0,0.12868829830582754,24.633037114479876,8.31,1.36,5,0.16510594226038924,45.04906649242029,0.0,Country/Region,139,26,0.12947090954364876,0,0.894512832416692,172,n/a,24,0.0,4,8.99,n/a,1511,64,566,57,655,467,1695,285,11.4,193,0.89,37.46,0.26,30.91,7.27,18.86,1.25,12.77,0.21,3.35,14,159,2.98,0,88.6
SLOVAKIA,2349,45223,46,78.97,0.591773478075777,1024,280,0.0,0.17665280166530423,0.6,43.59,23,0.0,0.12349958437035927,19.25202213707961,5.49,1.79,22,0.20273594269192594,36.018766879523206,0.0,Country/Region,117,42,0.1242506407124425,0,0.699109118033396,246,n/a,138,0.0,10,10.47,n/a,1984,37,552,118,624,410,2069,397,11.92,625,0.98,27.82,0.94,20.67,4.98,20.01,5.87,31.5,0.43,1.58,14,129,5.02,0,88.08
SLOVENIA,2012,44312,47,77.98,0.7110369781312128,635,229,0.0,0.1513092537039558,0.75,31.56,10,0.0,0.12101173258340578,22.02385685884692,7.65,0.8,15,0.1736503689638804,40.88989880715706,0.0,Country/Region,104,16,0.12174765918337466,0,0.799764255133869,267,n/a,93,0.0,12,13.27,n/a,1591,39,581,100,632,354,1783,400,11.38,256,0.5,36.52,0.75,22.25,5.17,25.14,4.62,16.09,0.6,1.94,15,154,4.97,0,88.62
IRAN,2096,42199,48,78.86,0.7210125000000001,448,187,0.0,0.1576263398426895,0.57,21.37,19,0.0,0.11524133650675078,20.1331106870229,7.2,0.67,11,0.18090018556078194,42.52565057251908,0.0,Country/Region,73,14,0.11594217074109107,0,0.7311045642610314,409,n/a,90,0.0,7,19.51,n/a,1661,29,462,84,254,462,1909,392,8.92,345,0.91,27.81,0.52,27.81,3.48,23.6,4.29,20.77,0.33,1.38,12,151,4.01,0,91.08
ROMANIA,2694,38244,49,72.01,0.5828627691165553,1031,247,0.0,0.20259797687796066,0.41,38.27,11,0.0,0.10444061881476283,14.195991091314031,5.72,0.67,16,0.23251197514348598,36.094019153674836,0.0,Country/Region,91,18,0.10507576904244856,0,0.515506721361166,325,n/a,124,0.0,3,12.06,n/a,1970,67,537,129,397,510,2447,328,9.17,595,0.41,27.26,0.59,25.89,3.38,16.65,4.6,30.2,0.11,2.49,11,154,4.79,0,90.83
BULGARIA,1848,36700,50,79.33,0.6422918831168831,864,256,0.0,0.13897589505214228,0.7,46.75,12,0.0,0.10022410601667703,19.85930735930736,6.66,1.08,14,0.15949596513183448,39.35205974025974,0.0,Country/Region,122,20,0.10083361373961568,0,0.721161795569469,156,n/a,118,0.0,4,8.44,n/a,1436,51,442,108,228,435,1592,290,13.85,269,0.65,30.78,0.76,30.29,6.6,20.19,6.39,18.73,0.22,2.76,13,123,5.84,0,86.15
